"webpbn.com #27: Party at the Right [Political]"
"Copyright 2004 by Jan Wolter"

,,,,,,,,,,,,,2,,3,,,,3,,3,,,,3,,2,,,,,,,,
,,,,,,,,,,,,3,1,,1,3,,4,1,,1,3,,4,1,,1,2,,,,,,,
,,,,,,,,,,,,2,1,1,1,2,,2,1,2,1,2,,2,1,1,1,2,,,,,,,
,,,,,,,,,,6,8,2,2,1,2,3,10,2,2,1,2,3,10,2,2,1,2,3,8,6,4,,,,
,,,,,,,,,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,2,1,
,,,,,,,,,12,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,9,1,3,5,1,1,1,1,1,4
,,,,,,,,11
,,,,,,,,17
,,,,,3,5,5,3
,,,,,2,2,2,1
,,2,1,3,1,3,1,4
,,,,,3,3,3,3
,,5,1,3,1,3,1,3
,,,,,3,2,2,4
,,,,,5,5,5,5
,,,,,,,,23
,,,,,,,,
,,,,,,,,23
,,,,,,,1,1
,,,,,,,1,1
,,,,,,1,2,1
,,,,,1,1,1,1
,,,,,1,1,1,1
,,,,1,10,1,2,1
,,1,1,1,1,1,1,3
,1,1,1,1,1,1,1,1
,,1,1,1,1,1,1,1
,,,1,1,1,1,2,2
,,,,,,5,5,3
