"webpbn.com #529: Swing"
"Copyright 2006 by Jan Wolter"

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,
,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,
,,,,,,,,,,,,,,,,4,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,
,,,,,,,,,,,,,,,,1,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,
,,,,,,,,,,,,,,,,4,1,,,,,,,,,,1,,,,,,,,,,,,5,,,,,2,2,,,,,,,,,,,,1,3,
,,,,,,,,,,,,,,,,1,4,1,,,,,,,,,1,2,2,2,,,,,,,,,1,2,2,,2,3,2,,,,,,,,,,,,1,1,
,,,,,,,,,,,,,,,,5,1,1,,,,,,,,1,2,1,1,1,,,,,,,,,1,1,1,,1,2,1,,,,,,,,,,,,2,4,
,,,,,,,,,,,,,,,7,1,4,5,,,,,2,,8,1,1,1,1,1,,,,,,,2,,1,1,1,2,3,1,1,,,,,,,,,,,6,1,1,1
,,,,,,,,,,,,,,,1,4,1,1,,,,,8,10,6,2,3,1,1,2,4,,,,,,13,12,2,1,1,2,1,1,2,9,12,7,2,,3,5,3,,,1,4,4,1
,,,,,,,,,,,,,,,1,1,14,2,3,,6,8,3,1,2,2,1,5,1,9,6,16,,,,2,7,8,8,9,6,1,3,2,3,3,4,4,6,8,10,11,1,3,5,3,1,1,1
,,,,,,,,,,,,,,,1,4,4,3,13,1,7,4,2,3,8,8,3,4,7,1,12,13,12,2,2,14,2,1,1,1,1,5,7,4,1,1,1,1,6,8,8,9,12,1,2,3,3,3,1
,,,,,,,,,,,,,,,1,1,1,4,1,9,2,1,5,7,1,1,3,2,2,2,1,3,21,13,14,20,8,7,5,1,3,6,3,4,8,7,6,2,5,6,4,5,16,12,13,1,1,1,1
,,,,,,,,,,,,,,,1,2,2,1,10,4,2,4,3,2,2,1,1,1,1,1,3,2,2,23,19,2,2,2,2,4,5,2,2,2,2,2,2,5,6,3,2,2,2,16,21,1,3,3,1
,,,,,,,,,7,1,1,1,1,1
,,3,1,3,1,4,1,4,1,5,1,5,1,2
,1,1,1,3,1,4,1,4,1,5,1,5,1,2
,,,,,,2,1,2,1,1,1,1,6,2
,,,,,,,,,,,3,30,1,5
,,,,,,1,5,8,1,1,7,1,1,3
,,,,,,,,3,4,8,1,5,1,2
,,,,,,,,,,,3,20,6,6
,,,,,,,,,3,3,7,2,5,1
,,,,,,3,3,1,1,9,1,1,5,6
,,,,,,,,2,3,8,1,3,4,2
,,,,,,,,5,3,1,10,4,5,2
,,,,,,,,,1,2,3,8,4,6
,,,,,,,,,,2,2,3,11,10
,,,,,,,,,,2,2,3,10,7
,,,,,,,,,2,3,1,7,12,2
,,,,,,,,,2,3,1,4,11,2
,,,,,,,,,4,1,2,1,11,2
,,,,,,,,,,,9,1,2,9
,,,,,,,,,,6,2,1,4,11
,,,,,,,,,2,5,1,2,6,6
,,,,,,,,,,6,2,4,8,4
,,,,,,,,,,,4,2,16,1
,,,,,,,,,,,2,2,15,2
,,,,,,,,,,,3,2,15,4
,,,,,,,,,,,3,3,13,4
,,,,,,,,,,,,4,12,9
,,,,,,,,,,,,1,9,10
,,,,,,,,,,2,1,17,7,2
,,,,,,,,,2,2,8,3,8,2
,,,,,,,,,2,3,6,3,8,2
,,,,,,,,,2,4,5,4,7,2
,,,,,,,,,,2,5,5,4,6
,,,,,,,,,,4,4,5,4,9
,,,,,,,,,,1,4,6,4,4
,,,,,,,,,4,3,6,4,3,2
,,,,,,,,2,1,2,7,4,4,2
,,,,,,,,2,2,2,9,5,5,2
,,,,,,,,,2,2,2,10,6,6
,,,,,,,,,,3,2,1,9,18
,,,,,,,,,,,,8,4,23
,,,,,,1,2,1,2,2,1,1,1,2
,,,2,1,4,2,1,4,1,5,1,3,1,2
,,,,2,1,5,4,4,1,5,1,3,1,2
,,,,,,,,,,1,10,1,1,1
